"used","x, 2theta (deg)","obs","calc","bkg","diff","diff/sigma","Axis-limits"
0,13.23,37550.0,0.0,0.0,-2622.26,193.778223750761," "
0,13.24,37150.0,0.0,0.0,-2622.26,192.74335267396384," "
0,13.25,37740.0,0.0,0.0,-2622.26,194.26785632214097," "
0,13.26,36366.7,0.0,0.0,-2622.26,190.70055060224652," "
0,13.27,37540.0,0.0,0.0,-2622.26,193.75241933973365," "
0,13.28,36946.7,0.0,0.0,-2622.26,192.2152439324207," "
0,13.29,37316.7,0.0,0.0,-2622.26,193.17530898124636," "
0,13.3,36846.7,0.0,0.0,-2622.26,191.95494262977445," "
0,13.31,36790.0,0.0,0.0,-2622.26,191.80719485983835," "
0,13.32,37740.0,0.0,0.0,-2622.26,194.26785632214097," "
0,13.33,37353.3,0.0,0.0,-2622.26,193.27001836808526," "
0,13.34,37520.0,0.0,0.0,-2622.26,193.70080020485202," "
0,13.35,37393.3,0.0,0.0,-2622.26,193.37347284464846," "
0,13.36,37713.3,0.0,0.0,-2622.26,194.19912461182724," "
0,13.37,37366.7,0.0,0.0,-2622.26,193.3046817849997," "
0,13.38,37803.3,0.0,0.0,-2622.26,194.43070745126658," "
0,13.39,37460.0,0.0,0.0,-2622.26,193.54586019855864," "
0,13.4,38143.3,0.0,0.0,-2622.26,195.30309777369123," "
0,13.41,37733.3,0.0,0.0,-2622.26,194.2506113246494," "
0,13.42,38373.3,0.0,0.0,-2622.26,195.89104114277407," "
0,13.43,37970.0,0.0,0.0,-2622.26,194.85892332659546," "
0,13.44,38100.0,0.0,0.0,-2622.26,195.19221295943134," "
0,13.45,38200.0,0.0,0.0,-2622.26,195.44820285692063," "
0,13.46,38366.7,0.0,0.0,-2622.26,195.87419431870038," "
0,13.47,38633.3,0.0,0.0,-2622.26,196.5535550428941," "
0,13.48,38500.0,0.0,0.0,-2622.26,196.21416870348583," "
0,13.49,39086.7,0.0,0.0,-2622.26,197.7035659769444," "
0,13.5,39496.7,0.0,0.0,-2622.26,198.73776691912383," "
0,13.51,39383.3,0.0,0.0,-2622.26,198.45226126199722," "
0,13.52,40376.7,0.0,0.0,-2622.26,200.93954314668875," "
0,13.53,40710.0,0.0,0.0,-2622.26,201.76719257599834," "
0,13.54,41090.0,0.0,0.0,-2622.26,202.70668464557355," "
0,13.55,41890.0,0.0,0.0,-2622.26,204.67046684854168," "
0,13.56,42436.7,0.0,0.0,-2622.26,206.0016990221197," "
0,13.57,43263.3,0.0,0.0,-2622.26,207.99831730088587," "
0,13.58,43463.3,0.0,0.0,-2622.26,208.47853606546647," "
0,13.59,44103.3,0.0,0.0,-2622.26,210.0078569958753," "
0,13.6,44106.7,0.0,0.0,-2622.26,210.01595177509728," "
0,13.61,44740.0,0.0,0.0,-2622.26,211.51832071950648," "
0,13.62,44240.0,0.0,0.0,-2622.26,210.3330692021585," "
0,13.63,44866.7,0.0,0.0,-2622.26,211.8176102216244," "
0,13.64,44943.3,0.0,0.0,-2622.26,211.9983490501754," "
0,13.65,44446.7,0.0,0.0,-2622.26,210.8238601297301," "
0,13.66,43610.0,0.0,0.0,-2622.26,208.83007446246816," "
0,13.67,43283.3,0.0,0.0,-2622.26,208.04638905782528," "
0,13.68,43240.0,0.0,0.0,-2622.26,207.9422996891205," "
0,13.69,43290.0,0.0,0.0,-2622.26,208.06249061279644," "
0,13.7,42626.7,0.0,0.0,-2622.26,206.46234523515417," "
0,13.71,41563.3,0.0,0.0,-2622.26,203.87079241519618," "
0,13.72,41950.0,0.0,0.0,-2622.26,204.81699148264042," "
0,13.73,41553.3,0.0,0.0,-2622.26,203.84626560229157," "
0,13.74,40883.3,0.0,0.0,-2622.26,202.1961918533581," "
0,13.75,40053.3,0.0,0.0,-2622.26,200.13320564064327," "
0,13.76,40680.0,0.0,0.0,-2622.26,201.69283576765935," "
0,13.77,39806.7,0.0,0.0,-2622.26,199.51616475864807," "
0,13.78,39580.0,0.0,0.0,-2622.26,198.94722918402255," "
0,13.79,39323.3,0.0,0.0,-2622.26,198.30103378449647," "
0,13.8,38913.3,0.0,0.0,-2622.26,197.26454319010296," "
0,13.81,38496.7,0.0,0.0,-2622.26,196.2057593446227," "
0,13.82,37856.7,0.0,0.0,-2622.26,194.56798297767284," "
0,13.83,38180.0,0.0,0.0,-2622.26,195.3970317072396," "
0,13.84,38073.3,0.0,0.0,-2622.26,195.12380685093248," "
0,13.85,38536.7,0.0,0.0,-2622.26,196.30766668675983," "
0,13.86,38413.3,0.0,0.0,-2622.26,195.99311212387033," "
0,13.87,38010.0,0.0,0.0,-2622.26,194.96153466773902," "
0,13.88,37463.3,0.0,0.0,-2622.26,193.55438512211498," "
0,13.89,37736.7,0.0,0.0,-2622.26,194.25936270872506," "
0,13.9,37930.0,0.0,0.0,-2622.26,194.75625792256332," "
0,13.91,38016.7,0.0,0.0,-2622.26,194.9787167872432," "
0,13.92,37753.3,0.0,0.0,-2622.26,194.30208439437803," "
