"used","x, 2theta (deg)","obs","calc","bkg","diff","Gd1.5Mn0.25Zr2.25O7","tick-pos","diff/sigma","Axis-limits"
1,61.94,15946.7,15182.23127344695,15007.37280885783,-1857.79127344695," "," ",6.053747624569727," "
1,61.95,15646.7,15162.829619129154,15007.333334982162,-2138.3896191291533," "," ",3.868277846807976," "
1,61.96,15470.0,15146.318516580735,15007.293920633047,-2298.5785165807356," "," ",2.602391902460994," "
1,61.97,15750.0,15132.298859901162,15007.254563699651,-2004.5588599011626," "," ",4.9219604977640214," "
1,61.98,15930.0,15120.392567658962,15007.215262069716,-1812.6525676589627," "," ",6.414555964158099," "
1,61.99,15660.0,15110.255509806746,15007.176013629627,-2072.515509806746," "," ",4.393038470690949," "
1,62.0,15353.3,15101.295380282656,15007.136816264392,-2370.255380282657," "," ",2.0337971493641875," "
1,62.01,15630.0,15093.831535070814,15007.097667857675,-2086.0915350708146," "," ",4.288661588465417," "
1,62.02,15223.3,15087.35766643302,15007.058566291833,-2486.3176664330203," "," ",1.1017937835793488," "
1,62.03,15140.0,15081.696407159308,15007.019509447908,-2563.9564071593086," "," ",0.4738407210643481," "
1,62.04,15140.0,15076.70482285747,15006.980495205684,-2558.9648228574697," "," ",0.5144079621141324," "
1,62.05,15350.0,15072.2689760762,15006.941521443674,-2344.5289760762007," "," ",2.2416623899112924," "
1,62.06,15606.7,15068.298576184503,15006.902586039165,-2083.8585761845025," "," ",4.309735911269854," "
1,62.07,15093.3,15064.722055181926,15006.863686868217,-2593.6820551819274," "," ",0.23261562918799186," "
1,62.08,15286.7,15061.482457755386,15006.824821805712,-2397.042457755386," "," ",1.8215678119008774," "
1,62.09,14870.0,15058.534036255664,15006.785988725367,-2810.7940362556637," "," ",-1.546088254980645," "
1,62.1,15226.7,15055.83959903138,15006.74718549972,-2451.3995990313797," "," ",1.384645267225965," "
1,62.11,15473.3,15053.36852686324,15006.70841000021,-2202.3285268632408," "," ",3.37587962606044," "
1,62.12,15236.7,15051.095218604014,15006.669660097157,-2436.6552186040135," "," ",1.5036394158329158," "
1,62.13,15213.3,15048.853460462298,15006.630933659793,-2457.813460462299," "," ",1.3332543959346972," "
1,62.14,15053.3,15046.914118132623,15006.592228556296,-2615.874118132624," "," ",0.05204811695522712," "
1,62.15,15156.7,15045.116381117758,15006.553542653797,-2510.676381117757," "," ",0.9063545411302089," "
1,62.16,15210.0,15043.446315194584,15006.514873818413,-2455.706315194584," "," ",1.350484606868957," "
1,62.17,14883.3,15041.891718219775,15006.476219915243,-2780.8517182197756," "," ",-1.2999626857768274," "
1,62.18,15140.0,15040.441845225998,15006.437578808438,-2522.701845225998," "," ",0.8091217976025765," "
1,62.19,15610.0,15039.087188099247,15006.398948361168,-2051.3471880992474," "," ",4.569496380127293," "
1,62.2,15303.3,15037.819316424017,15006.36032643569,-2356.7793164240175," "," ",2.1460526929621104," "
1,62.21,15103.3,15036.63070969084,15006.32171089334,-2555.5907096908413," "," ",0.5424877148600354," "
1,62.22,15116.7,15035.51466385347,15006.283099594568,-2541.0746638534692," "," ",0.6603118573383208," "
1,62.23,15170.0,15034.465163907482,15006.24449039895,-2486.725163907482," "," ",1.1004191625007254," "
1,62.24,15246.7,15033.476824189709,15006.205881165231,-2409.0368241897086," "," ",1.7268176542846296," "
1,62.25,15373.3,15032.54478539024,15006.16726975132,-2281.5047853902415," "," ",2.748267230440946," "
1,62.26,15463.3,15031.664675402031,15006.128654014337,-2190.624675402032," "," ",3.471090115694277," "
1,62.27,15430.0,15030.832538446391,15006.090031810605,-2223.0925384463917," "," ",3.2134546047267825," "
1,62.28,15390.0,15030.044786598732,15006.051400995713,-2262.304786598732," "," ",2.9015439825100127," "
1,62.29,15266.7,15029.29817244352,15006.012759424502,-2384.858172443519," "," ",1.9213720648714436," "
1,62.3,15380.0,15028.5897360432,15005.974104951103,-2270.849736043201," "," ",2.8335851930789198," "
1,62.31,14996.7,15027.916785685347,15005.93543542896,-2653.476785685347," "," ",-0.25491202966204124," "
1,62.32,14960.0,15027.276866041544,15005.896748710851,-2689.5368660415443," "," ",-0.5500471968308126," "
1,62.33,15226.7,15026.667724960393,15005.858042648902,-2422.227724960392," "," ",1.6210528674628573," "
1,62.34,14806.7,15026.087311405086,15005.819315094628,-2841.647311405086," "," ",-1.8029445383758056," "
1,62.35,15316.7,15025.533734430526,15005.780563898938,-2331.0937344305257," "," ",2.352656124560895," "
1,62.36,14990.0,15025.00526304356,15005.741786912156,-2657.2652630435605," "," ",-0.2859120958166675," "
1,62.37,15453.3,15024.500301380705,15005.702981984072,-2193.4603013807064," "," ",3.449402339241489," "
1,62.38,15300.0,15024.017382492433,15005.664146963923,-2346.2773824924334," "," ",2.231187221212031," "
1,62.39,15116.7,15023.555153058614,15005.625279700449,-2529.115153058614," "," ",0.7575832016554194," "
1,62.4,15156.7,15023.112357992899,15005.5863780419,-2488.6723579928985," "," ",1.0850854918031432," "
1,62.41,15223.3,15022.687843104846,15005.547439836057,-2421.647843104847," "," ",1.6259337439475376," "
1,62.42,15100.0,15022.28053417709,15005.508462930275,-2544.540534177091," "," ",0.6324720430854301," "
1,62.43,15300.0,15021.889438211614,15005.469445171475,-2344.1494382116143," "," ",2.2483906310850625," "
1,62.44,15210.0,15021.513635083003,15005.430384406187,-2433.7736350830037," "," ",1.528323643649649," "
1,62.45,15376.7,15021.15226430833,15005.391278480578,-2266.7122643083294," "," ",2.8672551832644664," "
1,62.46,15276.7,15020.804528916258,15005.352125240453,-2366.3645289162578," "," ",2.0703693257760767," "
1,62.47,14906.7,15020.469685939614,15005.312922531295,-2736.029685939613," "," ",-0.931828101662134," "
1,62.48,14930.0,15020.147043417213,15005.27366819829,-2712.4070434172136," "," ",-0.7377710060663539," "
1,62.49,14873.3,15019.835952569942,15005.234360086335,-2768.7959525699425," "," ",-1.2015463344630155," "
1,62.5,15133.3,15019.535810880894,15005.19499604007,-2508.495810880895," "," ",0.9247806943231782," "
1,62.51,15140.0,15019.246052016812,15005.155573903912,-2501.5060520168117," "," ",0.9813827072383564," "
1,62.52,15420.0,15018.966149396465,15005.116091522053,-2221.226149396465," "," ",3.2295264470163194," "
1,62.53,14986.7,15018.695606450776,15005.07654673851,-2654.2556064507753," "," ",-0.261358927537927," "
1,62.54,15076.7,15018.433959317994,15005.036937397128,-2563.9939593179934," "," ",0.474528565580594," "
1,62.55,14966.7,15018.180768916862,15004.997261341614,-2673.7407689168613," "," ",-0.4208060723074698," "
1,62.56,15186.7,15017.935629613094,15004.957516415552,-2453.495629613093," "," ",1.3694590694819042," "
1,62.57,14830.0,15017.698154509488,15004.917700462447,-2809.958154509488," "," ",-1.5413079803775178," "
1,62.58,15006.7,15017.467980974598,15004.87781132571,-2633.027980974597," "," ",-0.08790056755742999," "
1,62.59,15390.0,15017.244768504745,15004.83784684873,-2249.504768504745," "," ",3.004722972822969," "
1,62.6,15333.3,15017.028195637899,15004.797804874852,-2305.9881956378995," "," ",2.554128010225144," "
1,62.61,15183.3,15016.817960129882,15004.757683247437,-2455.7779601298826," "," ",1.351090069663059," "
1,62.62,15100.0,15016.613774139363,15004.717479809855,-2538.8737741393634," "," ",0.6785874822587146," "
1,62.63,14963.3,15016.415368726572,15004.67719240553,-2675.3753687265726," "," ",-0.43421668665666446," "
1,62.64,15463.3,15016.222489235082,15004.636818877963,-2175.1824892350833," "," ",3.595271842059542," "
1,62.65,14930.0,15016.034894090015,15004.59635707074,-2708.294894090015," "," ",-0.7041168291658277," "
1,62.66,15310.0,15015.85235394429,15004.555804827569,-2328.1123539442906," "," ",2.3772660155511933," "
1,62.67,15150.0,15015.674654125472,15004.515159992297,-2487.9346541254727," "," ",1.0913188359066823," "
1,62.68,15013.3,15015.501588782085,15004.47442040894,-2624.4615887820855," "," ",-0.01796793311310111," "
1,62.69,15006.7,15015.332964064526,15004.433583921716,-2630.8929640645256," "," ",-0.07047211940333942," "
1,62.7,14923.3,15015.168595559362,15004.392648375027,-2714.128595559363," "," ",-0.7520290935441639," "
