used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,21.53,19783.3,20128.838145753656,20128.838145753656,-2389.738146, , ,183.2574691520103, 
1,21.54,20046.7,20125.79829827326,20125.79829827326,-2123.298298, , ,180.8775829117583, 
1,21.55,20250,20122.758587740584,20122.758587740584,-1916.958588, , ,182.30002742731557, 
1,21.56,19793.3,20119.71901624537,20119.71901624537,-2370.619016, , ,181.30085493455346, 
1,21.57,19790,20116.67958587514,20116.67958587514,-2370.879586, , ,181.57643018850217, 
1,21.58,20073.3,20113.640298715178,20113.640298715178,-2084.540299, , ,183.75717673059737, 
1,21.59,19886.7,20110.601156848563,20110.601156848563,-2268.101157, , ,182.29097618916853, 
1,21.6,20413.3,20107.56216235611,20107.56216235611,-1738.462162, , ,181.3193315672656, 
1,21.61,19990,20104.52331731644,20104.52331731644,-2158.723317, , ,182.8660712105994, 
1,21.62,20270,20101.48462380592,20101.48462380592,-1875.684624, , ,182.7109739451903, 
1,21.63,20426.7,20098.44608389873,20098.44608389873,-1715.946084, , ,182.83872675120006, 
1,21.64,20023.3,20095.407699666786,20095.407699666786,-2116.3077, , ,182.47383374062156, 
1,21.65,20390,20092.369473179806,20092.369473179806,-1746.569473, , ,182.8660712105994, 
1,21.66,20206.7,20089.331406505284,20089.331406505284,-1926.831407, , ,181.62241051147845, 
1,21.67,20260,20086.293501708475,20086.293501708475,-1870.493502, , ,181.87000852257086, 
1,21.68,20183.3,20083.255760852444,20083.255760852444,-1944.155761, , ,182.45547402037573, 
1,21.69,20380,20080.21818599801,20080.21818599801,-1744.418186, , ,182.32745267786746, 
1,21.7,20606.7,20077.18077920378,20077.18077920378,-1514.680779, , ,181.68654325513486, 
1,21.71,20126.7,20074.143542526155,20074.143542526155,-1991.643543, , ,182.73833752116715, 
1,21.72,20430,20071.10647801931,20071.10647801931,-1685.306478, , ,184.1920194, 
1,21.73,20440,20068.069587735186,20068.069587735186,-1672.269588, , ,185.18450259133456, 
1,21.74,20253.3,20065.032873723554,20065.032873723554,-1855.932874, , ,183.9383048742159, 
1,21.75,20170,20061.996338031928,20061.996338031928,-1936.196338, , ,183.4756115, 
1,21.76,20240,20058.959982705623,20058.959982705623,-1863.159983, , ,183.73894524569363, 
1,21.77,20243.3,20055.92380978775,20055.92380978775,-1856.82381, , ,181.7231410690449, 
1,21.78,19913.3,20052.887821319197,20052.887821319197,-2183.787821, , ,182.73833752116715, 
1,21.79,20263.3,20049.852019338647,20049.852019338647,-1830.752019, , ,183.16659084014202, 
1,21.8,19996.7,20046.81640588257,20046.81640588257,-2094.316406, , ,183.05736805712027, 
1,21.81,20026.7,20043.78098298523,20043.78098298523,-2061.280983, , ,182.4645170985307, 
1,21.82,20336.7,20040.745752678675,20040.745752678675,-1748.245753, , ,182.81137820168635, 
1,21.83,19886.7,20037.71071699275,20037.71071699275,-2195.210717, , ,183.51212494001587, 
1,21.84,19866.7,20034.675877955106,20034.675877955106,-2212.175878, , ,182.00741743126844, 
1,21.85,19966.7,20031.641237591164,20031.641237591164,-2109.141238, , ,181.22720546319752, 
1,21.86,19486.7,20028.60679792416,20028.60679792416,-2586.106798, , ,183.35757415498276, 
1,21.87,19786.7,20025.572560975106,20025.572560975106,-2283.072561, , ,183.1209982497911, 
1,21.88,19876.7,20022.53852876284,20022.53852876284,-2190.038529, , ,182.2544924000503, 
1,21.89,20213.3,20019.504703303974,20019.504703303974,-1850.404703, , ,181.9431229807821, 
1,21.9,20103.3,20016.471086612924,20016.471086612924,-1957.371087, , ,182.11726991145017, 
1,21.91,19610,20013.43768070191,20013.43768070191,-2447.637681, , ,183.1302814938043, 
