used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,21.47,19706.7,20147.87104257463,20147.079989231064,-2485.371043, , , ,180.33302526159758, 
1,21.48,20110,20144.82426500009,20144.039364074037,-2079.024265, , , ,182.74764020364256, 
1,21.49,20070,20141.777770477835,20140.998863279376,-2115.97777, , , ,182.05301425683675, 
1,21.5,20306.7,20138.731556536335,20137.95848895021,-1876.231557, , , ,183.51212494001587, 
1,21.51,19796.7,20135.685621353772,20134.918243187454,-2383.185621, , , ,181.1168131345072, 
1,21.52,19836.7,20132.63996270377,20131.878128089793,-2340.139963, , , ,182.2451645449064, 
1,21.53,19783.3,20129.59457920334,20128.838145753656,-2390.494579, , , ,183.2574691520103, 
1,21.54,20046.7,20126.549468759473,20125.79829827326,-2124.049469, , , ,180.8775829117583, 
1,21.55,20250,20123.504630163534,20122.758587740584,-1917.70463, , , ,182.30002742731557, 
1,21.56,19793.3,20120.460061802332,20119.71901624537,-2371.360062, , , ,181.30085493455346, 
1,21.57,19790,20117.41576263787,20116.67958587514,-2371.615763, , , ,181.57643018850217, 
1,21.58,20073.3,20114.37173,20113.640298715178,-2085.271731, , , ,183.75717673059737, 
1,21.59,19886.7,20111.327966599805,20110.601156848563,-2268.827967, , , ,182.29097618916853, 
1,21.6,20413.3,20108.284467698664,20107.56216235611,-1739.184468, , , ,181.3193315672656, 
1,21.61,19990,20105.24123400253,20104.52331731644,-2159.441234, , , ,182.8660712105994, 
1,21.62,20270,20102.19826430578,20101.48462380592,-1876.398264, , , ,182.7109739451903, 
1,21.63,20426.7,20099.155558249986,20098.44608389873,-1716.655558, , , ,182.83872675120006, 
1,21.64,20023.3,20096.113115042317,20095.407699666786,-2117.013115, , , ,182.47383374062156, 
1,21.65,20390,20093.070934386928,20092.369473179806,-1747.270934, , , ,182.8660712105994, 
1,21.66,20206.7,20090.029015620676,20089.331406505284,-1927.529016, , , ,181.62241051147845, 
1,21.67,20260,20086.98735867795,20086.293501708475,-1871.187359, , , ,181.87000852257086, 
1,21.68,20183.3,20083.945962973135,20083.255760852444,-1944.845963, , , ,182.45547402037573, 
1,21.69,20380,20080.90482854049,20080.21818599801,-1745.104829, , , ,182.32745267786746, 
1,21.7,20606.7,20077.86395518855,20077.18077920378,-1515.363955, , , ,181.68654325513486, 
1,21.71,20126.7,20074.823342861473,20074.143542526155,-1992.323343, , , ,182.73833752116715, 
1,21.72,20430,20071.78299,20071.10647801931,-1685.982992, , , ,184.1920194, 
1,21.73,20440,20068.742901382695,20068.069587735186,-1672.942901, , , ,185.18450259133456, 
1,21.74,20253.3,20065.70307252546,20065.032873723554,-1856.603073, , , ,183.9383048742159, 
1,21.75,20170,20062.663504928092,20061.996338031928,-1936.863505, , , ,183.4756115, 
1,21.76,20240,20059.62419911599,20058.959982705623,-1863.824199, , , ,183.73894524569363, 
1,21.77,20243.3,20056.585155146688,20055.92380978775,-1857.485155, , , ,181.7231410690449, 
1,21.78,19913.3,20053.54637355605,20052.887821319197,-2184.446374, , , ,182.73833752116715, 
1,21.79,20263.3,20050.507854579726,20049.852019338647,-1831.407855, , , ,183.16659084014202, 
1,21.8,19996.7,20047.469598819946,20046.81640588257,-2094.969599, , , ,183.05736805712027, 
1,21.81,20026.7,20044.43160660106,20043.78098298523,-2061.931607, , , ,182.4645170985307, 
1,21.82,20336.7,20041.393878643823,20040.745752678675,-1748.893879, , , ,182.81137820168635, 
1,21.83,19886.7,20038.356415294245,20037.71071699275,-2195.856415, , , ,183.51212494001587, 
1,21.84,19866.7,20035.319217447486,20034.675877955106,-2212.819217, , , ,182.00741743126844, 
1,21.85,19966.7,20032.28228544514,20031.641237591164,-2109.782285, , , ,181.22720546319752, 
1,21.86,19486.7,20029.24562032324,20028.60679792416,-2586.74562, , , ,183.35757415498276, 
1,21.87,19786.7,20026.209222448768,20025.572560975106,-2283.709222, , , ,183.1209982497911, 
1,21.88,19876.7,20023.173092998648,20022.53852876284,-2190.673093, , , ,182.2544924000503, 
1,21.89,20213.3,20020.13723239134,20019.504703303974,-1851.037232, , , ,181.9431229807821, 
1,21.9,20103.3,20017.101641743466,20016.471086612924,-1958.001642, , , ,182.11726991145017, 
1,21.91,19610,20014.06632170379,20013.43768070191,-2448.266322, , , ,183.1302814938043, 
1,21.92,19833.3,20011.031273436678,20010.404487580938,-2221.931273, , , ,182.62885861768947, 
1,21.93,20020,20007.996497545526,20007.37150925784,-2032.196498, , , ,182.76569700028503, 
1,21.94,19893.3,20004.96199522383,20004.338747738224,-2155.861995, , , ,181.53980279817426, 
1,21.95,20003.3,20001.92776739097,20001.30620502553,-2042.827767, , , ,182.57409454793964, 
1,21.96,20356.7,19998.893815098203,19998.27388312096,-1686.393815, , , ,182.53766734567415, 
1,21.97,20030,19995.86013934246,19995.241784023558,-2010.060139, , , ,183.1392912512222, 
1,21.98,20033.3,19992.82674116691,19992.209909730158,-2003.726741, , , ,183.22117781522965, 
1,21.99,19796.7,19989.793621817415,19989.178262235408,-2237.293622, , , ,182.5012329, 
1,22,20193.3,19986.76078205334,19986.146843531747,-1837.660782, , , ,181.9431229807821, 
1,22.01,19830,19983.72822,19983.115655609443,-2197.928223, , , ,182.18122845123204, 
1,22.02,20020,19980.695946774173,19980.084700456548,-2004.895947, , , ,184.23707553041544, 
1,22.03,19923.3,19977.663953560357,19977.053980058943,-2098.563954, , , ,183.4756115, 
